full_name,disabled,has_projects,stargazers_count,subscribers_count,self_issue_count,pushed_at,pull_count,network_count,forks,watchers,open_issues,has_wiki,size,archived,fork,has_downloads,issue_count,language,created_at,mirror_url,has_pages,updated_at,id,description
apple/swift,False,False,49970,2524,0,2019-12-07T02:49:14Z,30,8082,8082,49970,425,False,513078,False,False,True,4997,C++,2015-10-23T21:15:07Z,,False,2019-12-07T04:23:25Z,44838949,The Swift Programming Language
facebook/react,False,True,140526,6649,0,2019-12-06T20:31:50Z,30,26796,26796,140526,990,True,148878,False,False,True,960,JavaScript,2013-05-24T16:15:54Z,,True,2019-12-07T06:11:11Z,10270250,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
esamattis/underscore.string,False,True,3337,77,0,2018-10-04T18:28:16Z,30,389,389,3337,124,False,3708,False,False,True,94,JavaScript,2010-07-27T08:01:42Z,,True,2019-12-06T23:51:12Z,800115,String manipulation helpers for javascript
isaacs/node-glob,False,True,6036,101,1,2019-11-22T12:35:24Z,27,392,392,6036,100,True,1502,False,False,True,72,JavaScript,2009-11-02T05:02:29Z,,False,2019-12-06T02:11:06Z,357681,glob functionality for node.js
microsoft/TypeScript,False,True,56274,2121,0,2019-12-07T04:30:50Z,30,7652,7652,56274,4146,True,1197859,False,False,True,4116,TypeScript,2014-06-17T15:28:39Z,,False,2019-12-07T03:54:34Z,20929025,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
cheeriojs/cheerio,False,True,20849,396,0,2019-12-04T06:49:35Z,23,1328,1328,20849,224,True,4016,False,False,True,201,JavaScript,2011-10-09T04:23:20Z,,True,2019-12-06T18:38:25Z,2541284,"Fast, flexible, and lean implementation of core jQuery designed specifically for the server."
chromium/chromium,False,False,5214,342,0,2019-12-04T20:37:50Z,7,2178,2178,5214,7,False,16013913,False,False,True,521,,2018-02-05T20:55:32Z,https://chromium.googlesource.com/chromium/src,False,2019-12-07T21:00:24Z,120360765,The official GitHub mirror of the Chromium source
python-pillow/Pillow,False,True,6855,217,2,2019-12-07T00:08:10Z,25,1360,1360,6855,194,True,52535,False,False,True,167,Python,2012-07-24T21:38:39Z,,True,2019-12-07T07:33:48Z,5171600,The friendly PIL fork (Python Imaging Library)
elastic/elasticsearch,False,True,45847,2798,0,2019-12-07T03:38:00Z,30,15494,15494,45847,2327,False,690100,False,False,True,2297,Java,2010-02-08T13:20:56Z,,False,2019-12-07T05:28:39Z,507775,"Open Source, Distributed, RESTful Search Engine"
webpack/webpack,False,True,52094,1603,0,2019-12-07T00:36:13Z,30,6647,6647,52094,446,True,29822,False,False,True,416,JavaScript,2012-03-10T10:08:14Z,,False,2019-12-07T07:31:36Z,3678731,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff."
isaacs/rimraf,False,True,3505,40,0,2019-12-01T14:01:29Z,13,197,197,3505,50,True,186,False,False,True,37,JavaScript,2011-02-08T08:58:20Z,,False,2019-12-06T10:55:50Z,1341324,A `rm -rf` util for nodejs
h5bp/html5-boilerplate,False,False,43726,2623,0,2019-11-20T02:15:20Z,0,10453,10453,43726,1,True,14215,False,False,True,1,JavaScript,2010-01-24T18:03:24Z,,False,2019-12-07T03:32:44Z,486550,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
